city,province,country,island
Worcester,West Midlands,GB,Great Britain
Sutton Coldfield,West Midlands,GB,Great Britain
Telford,West Midlands,GB,Great Britain
Cambridge,East of England,GB,Great Britain
Peterborough,East of England,GB,Great Britain
Ipswich,East of England,GB,Great Britain
Chelmsford,East of England,GB,Great Britain
Watford,East of England,GB,Great Britain
Southend-on-Sea,East of England,GB,Great Britain
Basildon,East of England,GB,Great Britain
Colchester,East of England,GB,Great Britain
Norwich,East of England,GB,Great Britain
Luton,East of England,GB,Great Britain
Hemel Hempstead,East of England,GB,Great Britain
London,London,GB,Great Britain
Southampton,South East England,GB,Great Britain
Portsmouth,South East England,GB,Great Britain
Basingstoke,South East England,GB,Great Britain
Milton Keynes,South East England,GB,Great Britain
High Wycombe,South East England,GB,Great Britain
Brighton and Hove,South East England,GB,Great Britain
Maidstone,South East England,GB,Great Britain
Oxford,South East England,GB,Great Britain
Reading,South East England,GB,Great Britain
Slough,South East England,GB,Great Britain
Eastbourne,South East England,GB,Great Britain
Gillingham,South East England,GB,Great Britain
Crawley,South East England,GB,Great Britain
Worthing,South East England,GB,Great Britain
Woking,South East England,GB,Great Britain
Bristol,South West England,GB,Great Britain
Bath,South West England,GB,Great Britain
Plymouth,South West England,GB,Great Britain
Exeter,South West England,GB,Great Britain
Bournemouth,South West England,GB,Great Britain
Poole,South West England,GB,Great Britain
Cheltenham,South West England,GB,Great Britain
Gloucester,South West England,GB,Great Britain
Swindon,South West England,GB,Great Britain
Edinburgh,Scotland,GB,Great Britain
Glasgow,Scotland,GB,Great Britain
Aberdeen,Scotland,GB,Great Britain
Dundee,Scotland,GB,Great Britain
Kirkwall,Scotland,GB,Orkney Mainland
Lerwick,Scotland,GB,Shetland Mainland
Cardiff,Wales,GB,Great Britain
Swansea,Wales,GB,Great Britain
Newport,Wales,GB,Great Britain
Belfast,Northern Ireland,GB,Ireland
Saint Peter Port,Guernsey,GBG,Guernsey
Saint Helier,Jersey,GBJ,Jersey
Al Manāmah,Bahrain,BRN,Bahrain
Male,Maldives,MV,Male
Mumbai,Maharashtra,IND,Salsette
Thane,Maharashtra,IND,Salsette
Port Blair,Andaman and Nicobar Islands,IND,South Andaman Island
Kavaratti,Lakshadweep,IND,Kavaratti
Sri Jayawardhanapura,Sri Lanka,CL,Sri Lanka
Colombo,Sri Lanka,CL,Sri Lanka
Xiamen,Fujian,CN,Xiamen
Haikou,Hainan,CN,Hainan
Sanya,Hainan,CN,Hainan
Zhoushan,Zhejiang,CN,Zhoushan
Taipei,Taiwan,RC,Taiwan
New Taipei,Taiwan,RC,Taiwan
Taoyuan,Taiwan,RC,Taiwan
Jhongli,Taiwan,RC,Taiwan
Keelung,Taiwan,RC,Taiwan
Hsinchu,Taiwan,RC,Taiwan
Taichung,Taiwan,RC,Taiwan
Changhua,Taiwan,RC,Taiwan
Hualien,Taiwan,RC,Taiwan
Chiayi,Taiwan,RC,Taiwan
Tainan,Taiwan,RC,Taiwan
Pingtung,Taiwan,RC,Taiwan
Kaohsiung,Taiwan,RC,Taiwan
Taitung,Taiwan,RC,Taiwan
Victoria,Hong Kong,HK,Hongkong Island
Taipa-Coloane,Macau,MAC,Taipa
Taipa-Coloane,Macau,MAC,Coloane
Jeju,South Korea,ROK,Jeju
Sapporo,Hokkaido,J,Hokkaido
Asahikawa,Hokkaido,J,Hokkaido
Hakodate,Hokkaido,J,Hokkaido
Kushiro,Hokkaido,J,Hokkaido
Aomori,Aomori,J,Honshu
Morioka,Iwate,J,Honshu
Sendai,Miyagi,J,Honshu
Akita,Akita,J,Honshu
Yamagata,Yamagata,J,Honshu
Fukushima,Fukushima,J,Honshu
Mito,Ibaraki,J,Honshu
Utsunomiya,Tochigi,J,Honshu
Maebashi,Gumma,J,Honshu
Saitama,Saitama,J,Honshu
Kawaguchi,Saitama,J,Honshu
Chiba,Chiba,J,Honshu
Funabashi,Chiba,J,Honshu
Matsudo,Chiba,J,Honshu
Ichikawa,Chiba,J,Honshu
Kashiwa,Chiba,J,Honshu
Tokyo,Tokyo,J,Honshu
Hachioji,Tokyo,J,Honshu
Machida,Tokyo,J,Honshu
Yokohama,Kanagawa,J,Honshu
Kawasaki,Kanagawa,J,Honshu
Sagamihara,Kanagawa,J,Honshu
Yokosuka,Kanagawa,J,Honshu
Fujisawa,Kanagawa,J,Honshu
Niigata,Niigata,J,Honshu
Toyama,Toyama,J,Honshu
Kanazawa,Ishikawa,J,Honshu
Fukui,Fukui,J,Honshu
Kofu,Yamanashi,J,Honshu
Nagano,Nagano,J,Honshu
Gifu,Gifu,J,Honshu
Shizuoka,Shizuoka,J,Honshu
Hamamatsu,Shizuoka,J,Honshu
Nagoya,Aichi,J,Honshu
Toyota,Aichi,J,Honshu
Tsu,Mie,J,Honshu
Otsu,Shiga,J,Honshu
Kyoto,Kyoto,J,Honshu
Osaka,Osaka,J,Honshu
Sakai,Osaka,J,Honshu
Higashiosaka,Osaka,J,Honshu
Hirakata,Osaka,J,Honshu
Kobe,Hyogo,J,Honshu
Himeji,Hyogo,J,Honshu
Nishinomiya,Hyogo,J,Honshu
Amagasaki,Hyogo,J,Honshu
Nara,Nara,J,Honshu
Wakayama,Wakayama,J,Honshu
Tottori,Tottori,J,Honshu
Matsue,Shimane,J,Honshu
Okayama,Okayama,J,Honshu
Kurashiki,Okayama,J,Honshu
Hiroshima,Hiroshima,J,Honshu
Fukuyama,Hiroshima,J,Honshu
Yamaguchi,Yamaguchi,J,Honshu
Tokushima,Tokushima,J,Shikoku
Takamatsu,Kagawa,J,Shikoku
Matsuyama,Ehime,J,Shikoku
Kochi,Kochi,J,Shikoku
Fukuoka,Fukuoka,J,Kyushu
Kitakyushu,Fukuoka,J,Kyushu
Saga,Saga,J,Kyushu
Nagasaki,Nagasaki,J,Kyushu
Kumamoto,Kumamoto,J,Kyushu
Oita,Oita,J,Kyushu
Miyazaki,Miyazaki,J,Kyushu
Kagoshima,Kagoshima,J,Kyushu
Naha,Okinawa,J,Okinawa
San Fernando,Ilocos,RP,Luzon
San Carlos,Ilocos,RP,Luzon
Tuguegarao,Cagayan Valley,RP,Luzon
Tarlac,Central Luzon,RP,Luzon
Cabanatuan,Central Luzon,RP,Luzon
Mabalacat,Central Luzon,RP,Luzon
Angeles,Central Luzon,RP,Luzon
San Fernando,Central Luzon,RP,Luzon
Malolos,Central Luzon,RP,Luzon
San Jose Del Monte,Central Luzon,RP,Luzon
Rodriguez,Calabarzon,RP,Luzon
San Mateo,Calabarzon,RP,Luzon
Antipolo,Calabarzon,RP,Luzon
Cainta,Calabarzon,RP,Luzon
Taytay,Calabarzon,RP,Luzon
Binangonan,Calabarzon,RP,Luzon
Bacoor,Calabarzon,RP,Luzon
Imus,Calabarzon,RP,Luzon
General Trias,Calabarzon,RP,Luzon
Dasmarinas,Calabarzon,RP,Luzon
San Pedro,Calabarzon,RP,Luzon
Biñan,Calabarzon,RP,Luzon
Santa Rosa,Calabarzon,RP,Luzon
Cabuyao,Calabarzon,RP,Luzon
Calamba,Calabarzon,RP,Luzon
San Pablo,Calabarzon,RP,Luzon
Lipa,Calabarzon,RP,Luzon
Batangas,Calabarzon,RP,Luzon
Lucena,Calabarzon,RP,Luzon
Legazpi,Bicol,RP,Luzon
Iloilo,Western Visayas,RP,Panay
Roxas,Western Visayas,RP,Panay
Bacolod,Western Visayas,RP,Negros
Cebu,Central Visayas,RP,Cebu
Lapu-Lapu,Central Visayas,RP,Cebu
Mandaue,Central Visayas,RP,Cebu
Toledo,Central Visayas,RP,Cebu
Tagbilaran,Central Visayas,RP,Bohol
Tacloban,Eastern Visayas,RP,Leyte
Pagadian,Zamboanga Peninsula,RP,Mindanao
Zamboanga,Zamboanga Peninsula,RP,Mindanao
Cagayan De Oro,Northern Mindanao,RP,Mindanao
Iligan,Northern Mindanao,RP,Mindanao
Valencia,Northern Mindanao,RP,Mindanao
Davao,Davao,RP,Mindanao
Tagum,Davao,RP,Mindanao
Koronadal,Soccsksargen,RP,Mindanao
General Santos,Soccsksargen,RP,Mindanao
Valenzuela,Metro Manila,RP,Luzon
Marikina,Metro Manila,RP,Luzon
Malabon,Metro Manila,RP,Luzon
Kalookan,Metro Manila,RP,Luzon
Quezon City,Metro Manila,RP,Luzon
Manila,Metro Manila,RP,Luzon
Mandaluyong,Metro Manila,RP,Luzon
Pasig,Metro Manila,RP,Luzon
Makati,Metro Manila,RP,Luzon
Pasay,Metro Manila,RP,Luzon
Taguig,Metro Manila,RP,Luzon
Parañaque,Metro Manila,RP,Luzon
Las Piñas,Metro Manila,RP,Luzon
Muntinlupa,Metro Manila,RP,Luzon
Baguio,Cordillera,RP,Luzon
Cotabato,Muslim Mindanao,RP,Mindanao
Marawi,Muslim Mindanao,RP,Mindanao
Jolo,Muslim Mindanao,RP,Jolo
Butuan,Caraga,RP,Mindanao
Calapan,Mimaropa,RP,Mindoro
Puerto Princesa,Mimaropa,RP,Palawan
Phuket,Thailand,THA,Phuket
Georgetown,Pulau Pinang,MAL,Penang
Kota Kinabalu,Sabah,MAL,Borneo
Tawau,Sabah,MAL,Borneo
Sandakan,Sabah,MAL,Borneo
Kuching Utara,Sarawak,MAL,Borneo
Sibu,Sarawak,MAL,Borneo
Labuan,Labuan,MAL,Labuan
Bandar Seri Begawan,Brunei,BRU,Borneo
Singapore,Singapore,SGP,Ujong
Banda Aceh,Aceh,RI,Sumatra
Medan,Sumatera Utara,RI,Sumatra
Pematang Siantar,Sumatera Utara,RI,Sumatra
Binjai,Sumatera Utara,RI,Sumatra
Padang,Sumatera Barat,RI,Sumatra
Pekanbaru,Riau,RI,Sumatra
Dumai,Riau,RI,Sumatra
Jambi,Jambi,RI,Sumatra
Palembang,Sumatera Selatan,RI,Sumatra
Lubuk Linggau,Sumatera Selatan,RI,Sumatra
Bengkulu,Bengkulu,RI,Sumatra
Bandar Lampung,Lampung,RI,Sumatra
Pangkal Pinang,Kepulauan Bangka Belitung,RI,Bangka
Tanjung Pinang,Kepulauan Riau,RI,Bintan
Batam,Kepulauan Riau,RI,Batam
Jakarta,DKI Jakarta,RI,Java
Bandung,Jawa Barat,RI,Java
Bogor,Jawa Barat,RI,Java
Cirebon,Jawa Barat,RI,Java
Sukabumi,Jawa Barat,RI,Java
Bekasi,Jawa Barat,RI,Java
Depok,Jawa Barat,RI,Java
Tasikmalaya,Jawa Barat,RI,Java
Cimahi,Jawa Barat,RI,Java
Semarang,Jawa Tengah,RI,Java
Surakarta,Jawa Tengah,RI,Java
Pekalongan,Jawa Tengah,RI,Java
Tegal,Jawa Tengah,RI,Java
Yogyakarta,DI Yogyakarta,RI,Java
Surabaya,Jawa Timur,RI,Java
Malang,Jawa Timur,RI,Java
Probolinggo,Jawa Timur,RI,Java
Kediri,Jawa Timur,RI,Java
Serang,Banten,RI,Java
Tangerang,Banten,RI,Java
Tangerang Selatan,Banten,RI,Java
Cilegon,Banten,RI,Java
Denpasar,Bali,RI,Bali
Mataram,Nusa Tenggara Barat,RI,Lombok
Kupang,Nusa Tenggara Timur,RI,Timor
Pontianak,Kalimantan Barat,RI,Borneo
Palangkaraya,Kalimantan Tengah,RI,Borneo
Bandjarmasin,Kalimantan Selatan,RI,Borneo
Samarinda,Kalimantan Timur,RI,Borneo
Balikpapan,Kalimantan Timur,RI,Borneo
Tanjung Selor,Kalimantan Utara,RI,Borneo
Tarakan,Kalimantan Utara,RI,Borneo
Manado,Sulawesi Utara,RI,Sulawesi
Palu,Sulawesi Tengah,RI,Sulawesi
Makassar,Sulawesi Selatan,RI,Sulawesi
Kendari,Sulawesi Tenggara,RI,Sulawesi
Gorontalo,Gorontalo,RI,Sulawesi
Mamuju,Sulawesi Barat,RI,Sulawesi
Ambon,Maluku,RI,Ambon
Ternate,Maluku Utara,RI,Ternate
Manokwari,Papua Barat,RI,New Guinea
Jayapura,Papua,RI,New Guinea
Merauke,Papua,RI,New Guinea
Dili,Timor-Leste,TL,Timor
Lae,North,PNG,New Guinea
Port Moresby,South,PNG,New Guinea
Buka,Bougainville,PNG,Buka
Honiara,Solomon Islands,SOL,Guadalcanal
Port Vila,Vanuatu,VU,Efate
Noumea,New Caledonia,NCL,Grande Terre
Hobart,Tasmania,AUS,Tasmania
Flying Fish Cove,Christmas Island,CX,Christmas Island
West Island,Cocos Islands,CC,Pulau Panjang
Kingston,Norfolk Island,NF,Norfolk Island
Wellington,New Zealand,NZ,Te Ika-a-Maui (North Island)
Auckland,New Zealand,NZ,Te Ika-a-Maui (North Island)
Hamilton,New Zealand,NZ,Te Ika-a-Maui (North Island)
Christchurch,New Zealand,NZ,Te Waka-a-Maui (South Island)
Dunedin,New Zealand,NZ,Te Waka-a-Maui (South Island)
Koror,Palau,PAL,Koror
Ngerulmud,Palau,PAL,Babeldaob
Saipan,Northern Mariana Islands,MP,Saipan
Hagåtña,Guam,GU,Guam
Palikir,Micronesia,FSM,Pohnpei
Majuro,Marshall Islands,MH,Majuro
Yaren,Nauru,NAU,Nauru
Tarawa,Kiribati,KIR,Tarawa
Funafuti,Tuvalu,TUV,Fongafale
Fakaofo,Tokelau,TOK,Fakaofo
Apia,Samoa,WS,Upolu
Pago Pago,American Samoa,AS,Tutuila
Mata-Utu,Wallis and Futuna,WF,Uvea
Suva,Fiji,FJI,Viti Levu
Nukualofa,Tonga,TO,Tongatapu
Alofi,Niue,NU,Niue
Avarua,Cook Islands,CK,Rarotonga
Papeete,French Polynesia,PF,Tahiti
Rikitea,French Polynesia,PF,Mangareva
Adamstown,Pitcairn,PN,Pitcairn
Banjul,Gambia,WAG,St. Mary's Island
Malabo,Insular,GQ,Bioko
Zanzibar,Zanzibar,EAT,Unguja
Praia,Cape Verde,CV,Santiago
São Tomé,Sao Tome and Principe,STP,Sao Tome
Victoria,Seychelles,SY,Mahe
Moroni,Comoros,COM,Grand Comoro
Mamoutzou,Mayotte,MYT,Mayotte
Antsiranana,Madagascar,RM,Madagaskar
Antananarivo,Madagascar,RM,Madagaskar
Antsirabe,Madagascar,RM,Madagaskar
Fianarantsoa,Madagascar,RM,Madagaskar
Majunga,Madagascar,RM,Madagaskar
Tamatave,Madagascar,RM,Madagaskar
Toliara,Madagascar,RM,Madagaskar
Port Louis,Mauritius,MS,Mauritius
Saint-Denis,Reunion,RE,Reunion
Saint-Paul,Reunion,RE,Reunion
Jamestown,Saint Helena,HELX,Saint Helena
Nuuk,Greenland,GL,Greenland
Saint-Pierre,Saint Pierre and Miquelon,SPM,Saint Pierre
Hamilton,Bermuda,BM,Grand Bermuda
Victoria,British Columbia,CDN,Vancouver Island
Saanich,British Columbia,CDN,Vancouver Island
St. John's,Newfoundland and Labrador,CDN,Newfoundland
Gander,Newfoundland and Labrador,CDN,Newfoundland
Laval,Quebec,CDN,Île Jésus
Montréal,Quebec,CDN,Île de Montréal
Iqaluit,Nunavut,CDN,Baffin Island
Honolulu,Hawaii,USA,Oahu
Hilo,Hawaii,USA,Hawaii
New York,New York,USA,Long Island
New York,New York,USA,Manhattan
New York,New York,USA,Staten Island
Nassau,Bahamas,BS,New Providence
Grand Turk,Turks and Caicos Islands,TUCA,Grand Turk
George Town,Cayman Islands,CYM,Grand Cayman
Camagüey,Camagüey,C,Cuba
Ciego de Ávila,Ciego de Ávila,C,Cuba
Cienfuegos,Cienfuegos,C,Cuba
La Habana,La Habana,C,Cuba
Bayamo,Granma,C,Cuba
Manzanillo,Granma,C,Cuba
Guantánamo,Guantánamo,C,Cuba
Holguín,Holguín,C,Cuba
Victoria de las Tunas,Las Tunas,C,Cuba
Matanzas,Matanzas,C,Cuba
Pinar del Río,Pinar del Río,C,Cuba
Sancti Spíritus,Sancti Spíritus,C,Cuba
Santiago de Cuba,Santiago de Cuba,C,Cuba
Santa Clara,Villa Clara,C,Cuba
Nueva Gerona,Isla de la Juventud,C,Isla de la Juventud
Artemisa,Artemisa,C,Cuba
San José de las Lajas,Mayabeque,C,Cuba
Kingston,Jamaica,JA,Jamaica
Port-au-Prince,Haiti,RH,Hispaniola
Carrefour,Haiti,RH,Hispaniola
Delmas,Haiti,RH,Hispaniola
Pétion-Ville,Haiti,RH,Hispaniola
Cité Soleil,Haiti,RH,Hispaniola
Gonaïves,Haiti,RH,Hispaniola
Cap-Haïtien,Haiti,RH,Hispaniola
Santo Domingo,Dominican Republic,DOM,Hispaniola
Santiago,Dominican Republic,DOM,Hispaniola
Puerto Plata,Dominican Republic,DOM,Hispaniola
San Juan,Puerto Rico,PR,Puerto Rico
Ponce,Puerto Rico,PR,Puerto Rico
Bayamón,Puerto Rico,PR,Puerto Rico
Carolina,Puerto Rico,PR,Puerto Rico
Charlotte Amalie,Virgin Islands,VIRG,Saint Thomas
Road Town,British Virgin Islands,BVI,Tortola
The Valley,Anguilla,AXA,Anguilla
Marigot,Saint Martin,SMAR,St. Martin
Philipsburg,Sint Maarten,SX,St. Martin
Gustavia,Saint Barthelemy,SBAR,St. Barthelemy
Basseterre,Saint Kitts and Nevis,KN,Saint Kitts
St. John's,Antigua and Barbuda,AG,Antigua
Plymouth,Montserrat,MNTS,Montserrat
Brades,Montserrat,MNTS,Montserrat
Basse-Terre,Guadeloupe,GP,Basse-Terre
Roseau,Dominica,WD,Dominica
Fort-de-France,Martinique,MQ,Martinique
Castries,Saint Lucia,WL,Saint Lucia
Bridgetown,Barbados,BDS,Barbados
Kingstown,Saint Vincent and the Grenadines,WV,Saint Vincent
Saint George's,Grenada,WG,Grenada
Port-of-Spain,Trinidad and Tobago,TT,Trinidad
Kralendijk,Bonaire,NLB,Bonaire
Willemstad,Curacao,CUR,Curacao
Oranjestad,Aruba,ARU,Aruba
La Asuncion,Nueva Esparta,YV,Isla Margarita
Porlamar,Nueva Esparta,YV,Isla Margarita
San Andres,"San Andrés, Providencia y Santa Catalina",CO,San Andres
Ushuaia,Tierra del Fuego,RA,Tierra del Fuego
Vitória,Espírito Santo,BR,Ilha de Vitória
São Luís,Maranhão,BR,Ilha de São Luís
Florianópolis,Santa Catarina,BR,Ilha de Santa Catarina
Santos,São Paulo,BR,Ilha de São Vicente
São Vicente,São Paulo,BR,Ilha de São Vicente
Guarujá,São Paulo,BR,Ilha de Sãnto Amaro
Stanley,Falkland Islands,FALK,East Falkland
