city,country,province,localname
Sumy,UA,Sumska,Суми
Ternopil,UA,Ternopilska,Тернопіль
Vinnytsia,UA,Vinnytska,Вінниця
Lutsk,UA,Volynska,Луцьк
Uzhhorod,UA,Zakarpatska,Ужгород
Zaporizhzhia,UA,Zaporizka,Запоріжжя
Melitopol,UA,Zaporizka,Мелітополь
Berdiansk,UA,Zaporizka,Бердя́нськ
Zytomyr,UA,Zytomyrska,Житомир
Simferopol,UA,Krym,Сімферополь
Kerch,UA,Krym,Керч
Yevpatoria,UA,Krym,Євпаторія
Kyïv,UA,Kyïv,Київ
Sevastopol,UA,Sevastopol,Севастополь
Petrozavodsk,R,Karelia,Петрозаводск
Arkhangelsk,R,Arkhangelskaya,Архангельск
Vologda,R,Vologodskaya,Вологда
Cherepovets,R,Vologodskaya,Череповец
Murmansk,R,Murmanskaya,Мурманск
Kaliningrad,R,Kaliningradskaya,Калининград
Sankt Peterburg,R,Sankt-Peterburg,Санкт-Петербург
Gatchina,R,Leningradskaya,Га́тчина
Velikij Novgorod,R,Novgorodskaya,Великий Новгород
Bryansk,R,Bryanskaya,Брянск
Vladimir,R,Vladimirskaya,Владимир
Ivanovo,R,Ivanovskaya,Иваново
Kaluga,R,Kaluzhskaya,Калуга
Kostroma,R,Kostromskaya,Кострома
Moskva,R,Moscow,Москва
Orel,R,Orlovskaya,Орел
Ryazan,R,Ryazanskaya,Рязань
Smolensk,R,Smolenskaya,Смоленск
Tver,R,Tverskaya,Тверь
Tula,R,Tulskaya,Тула
Yaroslavl,R,Yaroslavskaya,Ярославль
Yoshkar-Ola,R,Mariy-El,Йошкар-Ола
Saransk,R,Mordoviya,Саранск
Cheboksary,R,Chuvashia,Чебоксары
Kirov,R,Kirovskaya,Киров
Nizhnii Novgorod,R,Nizhnii Novgorodskaya,Нижний Новгород
Belgorod,R,Belgorodskaya,Белгород
Voronezh,R,Voronezhskaya,Воронеж
Kursk,R,Kurskaya,Курск
Lipetsk,R,Lipetskaya,Липецк
Tambov,R,Tambovskaya,Тамбов
Kazan,R,Tatarstan,Казань
Naberezhnye Tchelny,R,Tatarstan,Набережные Челны
Astrakhan,R,Astrakhanskaya,Астрахань
Volgograd,R,Volgogradskaya,Волгоград
Volzhsky,R,Volgogradskaya,Волжский
Penza,R,Penzenskaya,Пенза
Samara,R,Samarskaya,Самара
Tolyatti,R,Samarskaya,Тольятти
Saratov,R,Saratovskaya,Саратов
Ulyanovsk,R,Ulyanovskaya,Ульяновск
Rostov-na-Donu,R,Rostovskaya,Ростов-на-Дону
Taganrog,R,Rostovskaya,Таганрог
Ufa,R,Bashkortostan,Уфа
Sterlitamak,R,Bashkortostan,Стерлитамак
Izhevsk,R,Udmurtskaya,Ижевск
Orenburg,R,Orenburgskaya,Оренбург
Perm,R,Permskij,Пермь
Makhachkala,R,Dagestan,Махачкала
Vladikavkaz,R,North Ossetia-Alania,Владикавказ
Grozny,R,Chechenskaya,Грозный
Krasnodar,R,Krasnodarskiy,Краснодар
Sochi,R,Krasnodarskiy,Сочи
Novorossiysk,R,Krasnodarskiy,Новороссийск
Stavropol,R,Stavropolskiy,Ставрополь
Kurgan,R,Kurganskaya,Курган
Yekaterinburg,R,Sverdlovskaya,Екатеринбург
Nizhny Tagil,R,Sverdlovskaya,Нижний Тагил
Chelyabinsk,R,Chelyabinskaya,Челябинск
Magnitogorsk,R,Chelyabinskaya,Магнитогорск
Barnaul,R,Altayskiy,Барнаул
Kemerovo,R,Kemerovskaya,Кемерово
Novokuznetsk,R,Kemerovskaya,Новокузнецк
Novosibirsk,R,Novosibirskaya,Новосибирск
Berdsk,R,Novosibirskaya,Бердск
Omsk,R,Omskaya,Омск
Tomsk,R,Tomskaya,Томск
Tyumen,R,Tyumenskaya,Тюмень
Tobolsk,R,Tyumenskaya,Тобо́льск
Surgut,R,Tyumenskaya,Сургут
Nizhnevartovsk,R,Tyumenskaya,Нижневартовск
Ulan-Ude,R,Buryatiya,Улан-Удэ
Krasnoyarsk,R,Krasnoyarsk,Красноярск
Irkutsk,R,Irkutskaya,Иркутск
Chita,R,Zabaykalskiy,Чита
Yakutsk,R,Sakha,Якутск
Vladivostok,R,Primorskiy,Владивосток
Khabarovsk,R,Khabarovskiy,Хабаровск
Komsomolsk-na-Amure,R,Khabarovskiy,Комсомольск-на-Амуре
Sofia,BG,Bulgaria,София
Plovdiv,BG,Bulgaria,Пловдив
Varna,BG,Bulgaria,Варна
Burgas,BG,Bulgaria,Бургас
Ruse,BG,Bulgaria,Русе
Stara Zagora,BG,Bulgaria,Стара Загора
Pleven,BG,Bulgaria,Стара Загора
Reykjavik,IS,Iceland,Reykjavík
Keflavik,IS,Iceland,Keflavík og Njarðvíkurþéttbýli
Akureyri,IS,Iceland,Akureyri
Yerevan,ARM,Armenia,Երևան
Tbilisi,GE,Georgia,თბილისი
Kutaisi,GE,Georgia,ქუთაისი
Batumi,GE,Georgia,ბათუმი
Baku,AZ,Azerbaijan,Bakı
Ganja,AZ,Azerbaijan,Gəncə
Sumgayit,AZ,Azerbaijan,Sumqayıt
Bayrūt,RL,Lebanon,بيروت
Yerushalayim,IL,Yerushalayim,ירושלים
Ramla,IL,HaMerkaz,רמלה
Rishon LeZiyyon,IL,HaMerkaz,ראשון לציון
Petah Tiqwa,IL,HaMerkaz,פתח תקווה
Netanya,IL,HaMerkaz,נְתַנְיָה
Haifa,IL,Hefa,חיפה
Nazareth,IL,HaZafon,נצרת
Tel Aviv-Yafo,IL,Tel Aviv,תל אביב -יפו
Beer Sheva,IL,HaDarom,באר שבע
Ashdod,IL,HaDarom,אשדוד
Al Hasakah,SYR,Al Hasakah,الحسكة
Al Qamishl,SYR,Al Hasakah,القامشلي
Al Ladhiqiyah,SYR,Al Ladhiqiyah,اللاذقية
Ar Raqqah,SYR,Ar Raqqah,الرقة
As Suwayda,SYR,As Suwayda,السويداء
Daraa,SYR,Daraa,مركز درعا
Dayr az Zawr,SYR,Dayr az Zawr,دير الزور
Dimashq,SYR,Dimashq,مدينة دمشق
Halab,SYR,Halab,حلب‎
Manbij,SYR,Halab,منبج
Hamah,SYR,Hamah,حماة
Hims,SYR,Hims,حمص
Idlib,SYR,Idlib,ادلب
Maarrat an Numan,SYR,Idlib,معرة النعمان
Duma,SYR,Rif Dimashq,دوما
Tartus,SYR,Tartus,طرطوس
Amman,JOR,Jordan,العاصمة
Zarqa,JOR,Jordan,الزرقاء
Irbid,JOR,Jordan,اربد
Al Madinah,SA,Al-Madinah Al-Monawarah,المدينة
Yanbu al-Bahr,SA,Al-Madinah Al-Monawarah,ينبع
Riyadh,SA,Ar-Riyadh,الرياض
Khamis Mushait,SA,Aseer,خميس مشيط
Ad-Dammam,SA,Ash Sharqiyah,الدمام
Al-Hufuf,SA,Ash Sharqiyah,ٱلْهُفُوف
Al-Jubail,SA,Ash Sharqiyah,الجبيل
Hafar al_Batin,SA,Ash Sharqiyah,حفر الباطن
Makkah,SA,Makkah Al-Mokarramah,مكة
Jeddah,SA,Makkah Al-Mokarramah,جدة
At Taif,SA,Makkah Al-Mokarramah,الطائف
Al Manāmah,BRN,Bahrain,المنامة
Doha,Q,Qatar,الدوحة
Al Rayyan,Q,Qatar,الريان
Abu Dhabi,UAE,United Arab Emirates,أبوظبي
Al Ain,UAE,United Arab Emirates,العين
Dubai,UAE,United Arab Emirates,دبي
Al Sharjah,UAE,United Arab Emirates,الشارقة
Muscat,OM,Oman,مسقط
As Seeb,OM,Oman,السيب
Salalah,OM,Oman,صَلَالَة
Sanaa,YE,Yemen,صنعاء
Aden,YE,Yemen,عدن
Taizz,YE,Yemen,تعز
al Hudaydah,YE,Yemen,الحديده
Baghdad,IRQ,Baghdad,بغداد
Orumiyeh,IR,West Azarbayejan,اروميه
Khoy,IR,West Azarbayejan,خوئ
Maragheh,IR,West Azarbayejan,مراغه
Tabriz,IR,East Azarbayejan,تبريز
Kermanshah,IR,Kermanshah,کرمانشاه
Yasuj,IR,Kohgiluyeh and Boyer-Ahmad,ياسوج
Bushehr,IR,Bushehr,بوشهر
Shahr-e-Kord,IR,Chaharmahal and Bakhtiyari,شهركرد
Esfahan,IR,Esfahan,اصفهان
Najafabad,IR,Esfahan,نجف آباد
Khomeinishahr,IR,Esfahan,خميني شهر
Shiraz,IR,Fars,شيراز
Rasht,IR,Gilan,رشت
Hamedan,IR,Hamedan,همدان
Malayer,IR,Hamedan,ملاير
Bandar Abbas,IR,Hormozgan,بندرعباس
Ilam,IR,Ilam,ايلام
Kerman,IR,Kerman,کرمان
Sirjan,IR,Kerman,سيرجان
Mashhad,IR,Khorasan-e-Razavi,مشهد
Sabzevar,IR,Khorasan-e-Razavi,سبزوار
Neyshabur,IR,Khorasan-e-Razavi,نيشابور
Ahvaz,IR,Khuzestan,اهواز
Khorramshahr,IR,Khuzestan,خرمشهر
Dezful,IR,Khuzestan,دزفول
Masjed Soleyman,IR,Khuzestan,مسجدسليمان
Abadan,IR,Khuzestan,آبادان
Sanandaj,IR,Kurdestan,سنندج
Khorramabad,IR,Lorestan,خرم آباد
Borujerd,IR,Lorestan,بروجرد
Arak,IR,Markazi,اراک
Sari,IR,Mazandaran,سارئ
Amol,IR,Mazandaran,آمل
Babol,IR,Mazandaran,بابل
Qaemshahr,IR,Mazandaran,قائم شهر
Semnan,IR,Semnan,سمنان
Zahedan,IR,Sistan and Baluchestan,زاهدان
Tehran,IR,Tehran,تهران
Kashan,IR,Tehran,كاشان
Eslam Shahr,IR,Tehran,اسلام شهر
Yazd,IR,Yazd,يزد
Zanjan,IR,Zanjan,زنجان
Ardebil,IR,Ardebil,اردبيل
Gorgan,IR,Golestan,گرگان
Gonbad-e-Kavus,IR,Golestan,گنبدكاووس
Karaj,IR,Alborz,كرج
Qom,IR,Qom,قم
Qazvin,IR,Qazvin,قزوين
Bojnurd,IR,North Khorasan,بجنورد
Birjand,IR,South Khorasan,بيرجند
Kabul,AFG,Afghanistan,کابل
Herat,AFG,Afghanistan,هرات
Kandahar,AFG,Afghanistan,کندهار
Mazar-i-Sharif,AFG,Afghanistan,مزار شریف
Jalālābād,AFG,Afghanistan,جلالآباد
Ashgabat,TM,Ashgabat,Aşgabat
Balkanabat,TM,Balkan,Balkanabat
Dashhowuz,TM,Dashhowuz,Daşoguz
Turkmenabat,TM,Lebap,Türkmenabat
Mary,TM,Mary,Mary
Khujand,TJ,Sughd,Хуҷанд
Bochtar,TJ,Khatlon,Қурғонтеппа
Kulyab,TJ,Khatlon,Кӯлоб
Dushanbe,TJ,Dushanbe,Душанбе
Bishkek,KG,Kyrgyzstan,Бишкек
Osh,KG,Kyrgyzstan,Ош
Almaty,KZ,Almaty City,Алматы
Taldykurgan,KZ,Almaty,Талдықорған
Koksetau,KZ,Akmola,Көкшетау
Aqtobe,KZ,Aktobe,Ақтөбе
Atyrau,KZ,Atyrau,Атырау
Oral,KZ,West Kazakhstan,Орал
Aktau,KZ,Mangistau,Ақтау
Shymkent,KZ,South-Kazakhstan,Шымкент
Pavlodar,KZ,Pavlodar,Павлодар
Ekibastuz,KZ,Pavlodar,Екібастұз
Karaganda,KZ,Karaganda,Қарағанды
Temirtau,KZ,Karaganda,Теміртау
Zhezkazgan,KZ,Karaganda,Жезқазған
Balkhash,KZ,Karaganda,Балқаш
Kustanay,KZ,Kostanai,Қостанай
Rudniy,KZ,Kostanai,Рудный
Kyzylorda,KZ,Kyzylorda,Қызылорда
Öskemen,KZ,East-Kazakhstan,Өскемен
Semei,KZ,East-Kazakhstan,Семей
Petropavlovsk,KZ,North-Kazakhstan,Петропавл
Taraz,KZ,Zhambyl,Тараз
Astana,KZ,Astana,Астана
Ulaanbaatar,MNG,Mongolia,Улаанбаатар
Erdenet,MNG,Mongolia,ᠡᠷᠳᠡᠨᠢᠲᠦ
Pathein,MYA,Ayeyarwady,ပုသိမ်မြို့
Mandalay,MYA,Mandalay,မန္တလေး
Bago,MYA,Bago,ပဲခူးမြို့
Yangon,MYA,Yangon,ရန်ကုန်
Monywa,MYA,Sagaing,မုံရွာမြို့
Mawlamyine,MYA,Mon,မော်လမြိုင်မြို့
Sittwe,MYA,Rakhine,စစ်တွေမြို့
Taunggyi,MYA,Shan,တောင်ကြီးမြို့
Nay Pyi Taw,MYA,Nay Pyi Taw,နေပြည်တော်
Hefei,CN,Anhui,合肥市
Suzhou,CN,Anhui,宿州市
Xiamen,CN,Fujian,厦门市
Putian,CN,Fujian,莆田市
Lanzhou,CN,Gansu,兰州市
Guangzhou,CN,Guangdong,广州市
Shantou,CN,Guangdong,汕头市
Jieyang,CN,Guangdong,揭阳
Puning,CN,Guangdong,普宁市
Shenzhen,CN,Guangdong,深圳市
Dongguan,CN,Guangdong,东莞市
Foshan,CN,Guangdong,佛山市
Zhongshan,CN,Guangdong,珠海市
Huizhou,CN,Guangdong,惠州市
Guiyang,CN,Guizhou,贵阳市
Shijiazhuang,CN,Hebei,石家庄市
Tangshan,CN,Hebei,唐山市
Harbin,CN,Heilongjiang,哈尔滨市
Zhengzhou,CN,Henan,郑州市
Xinzheng,CN,Henan,新鄭市
Wuhan,CN,Hubei,武汉市
Xiangyang,CN,Hubei,襄阳市
Changsha,CN,Hunan,长沙市
Liuyang,CN,Hunan,浏阳市
Ningxiang,CN,Hunan,宁乡市
Nanjing,CN,Jiangsu,南京市
Wuxi,CN,Jiangsu,无锡市
Xuzhou,CN,Jiangsu,徐州市
Pizhou,CN,Jiangsu,邳州市
Suzhou,CN,Jiangsu,苏州市
Zhangjiagang,CN,Jiangsu,张家港市
Changzhou,CN,Jiangsu,常州市
Nantong,CN,Jiangsu,南通市
Rugao,CN,Jiangsu,如皋市
Huaian,CN,Jiangsu,淮安市
Nanchang,CN,Jiangxi,南昌市
Changchun,CN,Jilin,长春市
Shenyang,CN,Liaoning,沈阳市
Dalian,CN,Liaoning,大连市
Xian,CN,Shaanxi,西安市
Jinan,CN,Shandong,济南市
Zibo,CN,Shandong,淄博市
Qingdao,CN,Shandong,青岛市
Yantai,CN,Shandong,烟台市
Weifang,CN,Shandong,潍坊市
Zaozhuang,CN,Shandong,枣庄市
Linyi,CN,Shandong,临沂市
Taiyuan,CN,Shanxi,太原市
Chengdu,CN,Sichuan,成都市
Kunming,CN,Yunnan,昆明市
Hangzhou,CN,Zhejiang,杭州市
Ningbo,CN,Zhejiang,宁波市
Wenzhou,CN,Zhejiang,温州市
Yueqing,CN,Zhejiang,乐清市
Nanning,CN,Guangxi,南宁市
Baotou,CN,Nei Mongol,包头市
Tongliao,CN,Nei Mongol,通辽市
Wulumuqi,CN,Xinjiang,乌鲁木齐市
Aksu,CN,Xinjiang,ئاقسۇ شەھىرى
Beijing,CN,Beijing,北京巿
Shanghai,CN,Shanghai,上海巿
Tianjin,CN,Tianjin,天津巿
Chongqing,CN,Chongqing,重庆巿
Taipei,RC,Taiwan,臺北市
New Taipei,RC,Taiwan,新北市
Taoyuan,RC,Taiwan,桃園市
Jhongli,RC,Taiwan,中壢市
Keelung,RC,Taiwan,基隆市
Hsinchu,RC,Taiwan,新竹市
Taichung,RC,Taiwan,臺中市
Changhua,RC,Taiwan,彰化市
Hualien,RC,Taiwan,花蓮市
Chiayi,RC,Taiwan,嘉義市
Tainan,RC,Taiwan,臺南市
Pingtung,RC,Taiwan,屏東市
Kaohsiung,RC,Taiwan,高雄市
Taitung,RC,Taiwan,臺東市
Seoul,ROK,South Korea,서울특별시
Busan,ROK,South Korea,부산광역시
Daegu,ROK,South Korea,대구광역시
Incheon,ROK,South Korea,인천광역시
Gwangju,ROK,South Korea,광주광역시
Daejeon,ROK,South Korea,대전광역시
Sejong,ROK,South Korea,세종
Ulsan,ROK,South Korea,울산광역시
Suwon,ROK,South Korea,수원시
Seongnam,ROK,South Korea,성남시
Jeonju,ROK,South Korea,전주시
Changwon,ROK,South Korea,창원시
Cheongju,ROK,South Korea,청주시
Jinju,ROK,South Korea,진주시
Jeju,ROK,South Korea,제주시
Gunsan,ROK,South Korea,군산시
Chuncheon,ROK,South Korea,춘천시
Yeosu,ROK,South Korea,여수시
Goyang,ROK,South Korea,고양시
Yongin,ROK,South Korea,용인시
Bucheon,ROK,South Korea,부천시
Ansan,ROK,South Korea,안산시
Anyang,ROK,South Korea,안양시
Sapporo,J,Hokkaido,札幌市
Sendai,J,Miyagi,仙台市
Utsunomiya,J,Tochigi,宇都宮市
Saitama,J,Saitama,さいたま市
Kawaguchi,J,Saitama,川口市
Chiba,J,Chiba,千葉市
Funabashi,J,Chiba,船橋市
Matsudo,J,Chiba,松戸市
Ichikawa,J,Chiba,市川市
Kashiwa,J,Chiba,柏市
Tokyo,J,Tokyo,特別区部
Hachioji,J,Tokyo,八王子市
Machida,J,Tokyo,町田市
Yokohama,J,Kanagawa,横浜市
Kawasaki,J,Kanagawa,川崎市
Sagamihara,J,Kanagawa,相模原市
Yokosuka,J,Kanagawa,横須賀市
Fujisawa,J,Kanagawa,藤沢市
Niigata,J,Niigata,新潟市
Toyama,J,Toyama,富山市
Kanazawa,J,Ishikawa,金沢市
Gifu,J,Gifu,岐阜市
Shizuoka,J,Shizuoka,静岡市
Hamamatsu,J,Shizuoka,浜松市
Nagoya,J,Aichi,名古屋市
Toyota,J,Aichi,豊田市
Kyoto,J,Kyoto,京都市
Osaka,J,Osaka,大阪市
Sakai,J,Osaka,堺市
Higashiosaka,J,Osaka,東大阪市
Hirakata,J,Osaka,枚方市
Kobe,J,Hyogo,神戸市
Himeji,J,Hyogo,姫路市
Nishinomiya,J,Hyogo,西宮市
Amagasaki,J,Hyogo,尼崎市
Okayama,J,Okayama,岡山市
Kurashiki,J,Okayama,倉敷市
Hiroshima,J,Hiroshima,広島市
Fukuyama,J,Hiroshima,福山市
Takamatsu,J,Kagawa,高松市
Matsuyama,J,Ehime,松山市
Fukuoka,J,Fukuoka,福岡市
Kitakyushu,J,Fukuoka,北九州市
Nagasaki,J,Nagasaki,長崎市
Kumamoto,J,Kumamoto,熊本市
Oita,J,Oita,大分市
Miyazaki,J,Miyazaki,宮崎市
Kagoshima,J,Kagoshima,鹿児島市
Thai Nguyen,VN,Northern Midlands and Mountains,Thái Nguyên
Ha Long,VN,Northern Midlands and Mountains,Hạ Long
Cam Pha,VN,Northern Midlands and Mountains,Cam Pha
Hanoi,VN,Red River Delta,Hà Nội
Haiphong,VN,Red River Delta,Hải Phòng
Nam Dinh,VN,Red River Delta,Nam Định
Vinh,VN,North and South Central Coast,Vinh
Da Nang,VN,North and South Central Coast,Đà Nẵng
Hue,VN,North and South Central Coast,Huế
Nha Trang,VN,North and South Central Coast,Nha Trang
Qui Nhon,VN,North and South Central Coast,Quy Nhơn
Buon Ma Thuot,VN,Central Highlands,Buôn Ma Thuột
Thanh Pho Ho Chi Minh,VN,Southeast,Thành Phố Hồ Chí Minh
Vung Tau,VN,Southeast,Vũng Tàu
Bien Hoa,VN,Southeast,Biên Hoà
Can Tho,VN,Mekong River Delta,Cần Thơ
Long Xuyen,VN,Mekong River Delta,Long Xuyên
Rach Gia,VN,Mekong River Delta,Rạch Giá
Phnom Penh,K,Cambodia,ភ្នំពេញ
Battambang,K,Cambodia,ក្រុងបាត់ដំបង
Siem Reap,K,Cambodia,ក្រុងសៀមរាប
Chiang Mai,THA,Thailand,เชียงใหม่
Nakhon Ratchasima,THA,Thailand,นครราชสีมา
Nakhon Sawan,THA,Thailand,นครสวรรค์
Bangkok,THA,Thailand,กรุงเทพมหานคร
Nakhon Si Thammarat,THA,Thailand,นนทบุรี
Songkhla,THA,Thailand,สงขลา
Samut Prakan,THA,Thailand,สมุทรปราการ
Chon Buri,THA,Thailand,ชลบุรี
Phuket,THA,Thailand,ภูเก็ต
Al Qahirah,ET,Egypt,القاهرة
Al-Qāhirah al-Jadīdah,ET,Egypt,القاهرة الجديدة
Al Iskandariyah,ET,Egypt,الاسكندري
Al Jizah,ET,Egypt,الجيزة
Bur Said,ET,Egypt,بورسعيد
Al Minya,ET,Egypt,المنيا
As Suways,ET,Egypt,السويس
Damanhur,ET,Egypt,دمنهور
Al Mansurah,ET,Egypt,المنصورة
Tanta,ET,Egypt,طنطا
Al Mahallah al Kubra,ET,Egypt,المحلة الكبرى
Al Ismailiyah,ET,Egypt,الاسماعيلي
Shibin al Kawm,ET,Egypt,شبين الكوم
Banha,ET,Egypt,بنها
Shubra al Khimah,ET,Egypt,شبرا الخيمة
Az Zaqaziq,ET,Egypt,الزقازيق
Aswan,ET,Egypt,أسوان
Asyut,ET,Egypt,أسيوط
Bani Suwayf,ET,Egypt,بني سويف
Al Fayyum,ET,Egypt,الفيوم
Qina,ET,Egypt,قنــــا
Al Uqsur,ET,Egypt,الاقص
Sawhaj,ET,Egypt,سوهاج
Al-Arish,ET,Egypt,العريش
Dumyat,ET,Egypt,دمياط
Madīnat 'Ashirh min-Ramaḍān,ET,Egypt,العاشر من رمضان
Tripoli,LAR,Libya,طرابلس
Benghazi,LAR,Libya,بنغازي
Misratah,LAR,Libya,مصراتة
Tunis,TN,Tunisia,تونس العاصمة
Sfax,TN,Tunisia,صفاقس
Sousse,TN,Tunisia,سوسة
Banzart,TN,Tunisia,بنزرت
Al-Qayrawān,TN,Tunisia,القيروان
Algiers,DZ,Algeria,الجزائر
Annaba,DZ,Algeria,عنابة
Batna,DZ,Algeria,باتنة
Béchar,DZ,Algeria,بشار
Sidi Bel Abbës,DZ,Algeria,سيدي بلعباس
Skikda,DZ,Algeria,سكيكدة
Tébessa,DZ,Algeria,تبسة
Oran,DZ,Algeria,وهران
Constantine,DZ,Algeria,قسنطينة
Sétif,DZ,Algeria,سطيف
Blida,DZ,Algeria,البليدة
Bejaïa,DZ,Algeria,بجاية
Mostaganem,DZ,Algeria,مستغانم
Ech Chelif,DZ,Algeria,الشلف
Tlemcen,DZ,Algeria,تلمسان
Tougourt,DZ,Algeria,توغرة
Ghardaïa,DZ,Algeria,غرداية
El Djelfa,DZ,Algeria,الجلفة
Biskra,DZ,Algeria,بسكرة
Laghouat,DZ,Algeria,الأغواط
Agadir,MA,Souss Massa Daraa,أكادير
Kénitra,MA,Gharb Chrarda Beni Hssen,القنيطرة
Settat,MA,Chaouia Ouardigha,سطات
Marrakech,MA,Marrakech Tensift Al Haouz,مراكش
Oujda,MA,Oriental,وجدة
Nador,MA,Oriental,النادور
Casablanca,MA,Grand Casablanca,الدار البيضاء
Mohammedia,MA,Grand Casablanca,محمدية
Rabat,MA,Rabat Sale Zemmour Zaer,الرباط
Salé,MA,Rabat Sale Zemmour Zaer,سلا
Temara,MA,Rabat Sale Zemmour Zaer,تمارة
Safi,MA,Doukala Abda,آسفي
Beni Mellal,MA,Tadla Azilal,بني ملال
Meknès,MA,Meknes Tafilalet,مكناس
Fès,MA,Fes Boulemane,فاس
Tanger,MA,Tanger Tetouan,طنجة
Tétouan,MA,Tanger Tetouan,تطوان
El Aaiun,WSA,Western Sahara,العيون
Kiffa,RIM,Assaba,كيفه
Nouadhibou,RIM,Dakhlet Nouadhibou,انواذيبو
Kaedi,RIM,Gorgol,كيهيدي
Nouakchott,RIM,Nouakchott,نواكشوط
Rosso,RIM,Trarza,روصو
Port Sudan,SUD,Al-Baḥr al-Aḥmar,بورتسودان
Al Gazira,SUD,Al-Jazīrah,الجزيرة
Khartoum,SUD,Al-Kharṭūm,الخرطوم
Omdurman,SUD,Al-Kharṭūm,أمدرمان
Khartoum North,SUD,Al-Kharṭūm,الخرطوم بحري
Al Gedaref,SUD,Al-Qaḍārif,القضارف
Rabak,SUD,An-Nīl al-Abyaḍ,ربك
Kūstī,SUD,An-Nīl al-Abyaḍ,كوستي
Ad-Damazīn,SUD,An-Nīl al-Azraq,الدمازين
Dunqulā,SUD,Ash-Shamālīyah,دنقلا
Al-Junaynah,SUD,Gharb al-Dārfūr,الجنينة
Al-Fūlah,SUD,Gharb Kurdufān,الفولة
Nyala,SUD,Janūb Dārfūr,نيالا
Kāduqlī,SUD,Janūb Kurdufān,كادقلي
Kassala,SUD,Kassalā,كسلا
Ad-Dāmir,SUD,Nahr an-Nīl,الدامر
Atbara,SUD,Nahr an-Nīl,عطبرة
Sannār,SUD,Sannār,سنار
Al Fashir,SUD,Shamāl Dārfūr,الفاشر
Al Ubayyiḑ,SUD,Shamāl Kurdufān,الأبيض
Aḍ-Ḍuayn,SUD,Sharq Dārfūr,الضعين
Massaua,ER,Eritrea,ምጽዋዕ
