name,sea,length,area,source,estuary,estuaryelevation
Meurthe,,161,3085,"(48.06,7.02)","(48.78,6.14)",189
Neckar,,367,14000,"(48.05,8.5)","(49.51,8.44)",88
Enz,,105,2228,"(48.61,8.45)","(49.01,9.15)",170
Ill,,217,4760,"(47.46,7.26)","(48.70,7.93)",127
Elz,,121,1539,"(48.102,8.164)","(48.56,7.81)",137
Birs,,75,897,"(47.21,7.18)","(47.56,7.62)",246
Aare,,288,17620,"(46.55,8.2)","(47.61,8.22)",311
Saane,,126,1893,"(46.33,7.27)","(46.98,7.26)",461
Zihl,,8.5,2695,"(47.00,7.02)","(47.05,7.07)",428
Orbe,,72,476,"(46.49,6.06)","(46.79,6.66)",429
Reuss,,164,3425,"(46.56,8.54)","(47.4921,8.2371)",329
Limmat,,36.3,2416,"(47.23,8.64)","(47.50,8.24)",328
Thur,,135,1760,"(47.24,9.35)","(47.59,8.49)",345
Bregenzer Ach,,67,835,"(47.23,10.11)","(47.50,9.69)",395
Hinterrhein,,72,1693,"(46.50,9.04)","(46.82,9.41)",590
Maas,,925,34548,"(47.97,5.63)","(51.73,4.73)",0
Rur,,164.5,2361,"(50.50,6.11)","(51.20,6.00)",17
Schelde,North Sea,360,21863,"(49.99,3.27)","(51.42,3.06)",0
Somme,The Channel,245,6550,"(49.91,3.60)","(50.19,1.62)",0
Seine,The Channel,776,75000,"(47.48,4.71)","(49.42,0.10)",0
Marne,,514,12816,"(47.8,5.35)","(48.8,2.4)",32
Vilaine,Atlantic Ocean,218,10882,"(48.23,-1.05)","(47.50,-2.38)",0
Loire,Atlantic Ocean,1013,117000,"(44.84,4.22)","(47.27,-2.18)",0
Maine,,11,22350,"(47.49,-0.54)","(47.61,-0.61)",13
Sarthe,,314,7864,"(48.63,-0.53)","(47.49,-0.54)",15
Mayenne,,203,5820,"(48.46,-0.13)","(47.49,-0.54)",15
Vienne,,363,21161,"(45.66,2.09)","(47.21,0.08)",33
Cher,,365,14000,"(45.92,2.47)","(47.34,0.48)",38
Allier,,421,14350,"(44.59,3.79)","(46.96,3.08)",167
Garonne,Atlantic Ocean,647,55000,"(42.6,0.98)","(45.0,-0.6)",0
Rhone,Mediterranean Sea,812,100000,"(46.57,8.38)","(43.33,4.84)",0
Saone,,473,29900,"(48.1,6.2)","(45.7,4.8)",165
Doubs,,453,7710,"(46.7,6.21)","(46.9,5.0)",175
Isere,,286,11890,"(45.4,7.0)","(45.0,4.85)",108
Durance,,323,14342,"(44.89,6.72)","(43.92,4.74)",20
Mino,Atlantic Ocean,308,12486,"(43.19,-7.53)","(41.87,-8.87)",0
Douro,Atlantic Ocean,897,98400,"(42,-3)","(41.15,-8.66)",0
Mondego,Atlantic Ocean,234,6644,"(40.43,-7.57)","(40.15,-8.88)",0
Tejo,Atlantic Ocean,1007,80600,"(40.32,-1.70)","(38.7,-9.3)",0
Jarama,,190,11597,"(41.15,-3.53)","(40.03,-3.65)",482
Sado,Atlantic Ocean,180,7640,"(37.64,-8.26)","(38.49,-8.93)",0
Guadiana,Atlantic Ocean,742,67733,"(42,-3)","(37.35,-7.65)",0
Guadalquivir,Atlantic Ocean,657,56978,"(37.83,-2.98)","(36.79,-6.36)",0
Genil,,358,8278,"(37.11,-3.34)","(37.69,-5.32)",44
Segura,Mediterranean Sea,325,18870,"(38.05,-2.70)","(38.11,-0.64)",0
Júcar,Mediterranean Sea,500,21600,"(40.40,-1.84)","(39.15,-0.24)",0
Turia,Mediterranean Sea,280,6393.6,"(40.40,-1.73)","(39.42,-0.33)",0
Ebro,Mediterranean Sea,925,83093,"(43.0375,-4.37)","(40.8,0.5)",0
Segre,,265,20000,"(43.40,-2.11)","(41.36,0.30)",58
Valira,,44,592,"(42.51,1.54)","(42.35,1.44)",690
Po,Mediterranean Sea,652,75000,"(44.70,7.09)","(44.95,12.43)",0
Tresa,,15,754,"(45.97,8.86)","(46.00,8.73)",193
Ticino,,248,7228,"(46.475,8.42)","(45.14,9.235)",50
Moesa,,46,475,"(46.50,9.06)","(46.22,9.04)",233
Lambro,,130,1350,"(45.92,9.24)","(45.14,9.55)",49
Dora Baltea,,160,3920,"(45.81,6.96)","(45.18,8.05)",158
Tanaro,,276,8324,"(44.12,7.72)","(45.00,8.77)",75
Adda,,313,7979,"(46.55,10.3)","(45.13,9.88)",32
Mera,,50,,"(46.40,9.57)","(46.20,9.38)",197
Mincio,,75,2859,"(45.4,10.7)","(45.1,10.95)",
Etsch,Mediterranean Sea,415,12200,"(46.7,10.5)","(44.8,7.09)",0
Tevere,Mediterranean Sea,405,17375,"(43.77,12.08)","(41.74,12.23)",0
Marta,Mediterranean Sea,54,,"(42.53,12.93)","(42.23,11.70)",0
Arrone,Mediterranean Sea,35,125,"(42.09,12.28)","(41.87,12.18)",0
Arno,Mediterranean Sea,240,8200,"(43.9,11.7)","(43.7,10.2)",0
Imera Meridionale,Mediterranean Sea,144,2122,"(37.83,14.15)","(37.11,13.95)",0
Tirso,Mediterranean Sea,152,3375,"(40.51,9.34)","(39.89,8.54)",0
Donau,Black Sea,2845,795686,"(47.95,8.52)","(45.16,29.65)",0
Breg,,45.9,291.2,"(48.100,8.172)","(47.95,8.52)",686
Brigach,,43,195,"(48.11,8.28)","(47.95,8.52)",686
Iller,,147,2152,"(47.43,10.27)","(48.38,9.97)",468
Lech,,264,3926,"(47.17,10.0)","(48.73,10.93)",392
Isar,,295,8370,"(47.37,11.40)","(48.80,12.98)",310
Ammer,,168,3221,"(47.57,11.05)","(48.50,11.96)",407
Würm,,35,429,"(48.00,11.35)","(48.30,11.5)",482
Inn,,517,25700,"(46.41,9.67)","(48.57,13.47)",291
Ilz,,62,850,"(48.94,13.41)","(48.57,13.47)",291
Regen,,190,2953,"(49.17,13.25)","(49.02,12.11)",325
Naab,,197,5514,"(49.76,12.4)","(49.02,12.02)",333
Alz,,150,2197,"(47.3,12.35)","(48.3,12.8)",360
Salzach,,225,6700,"(47.30,12.11)","(48.21,12.92)",344
Enns,,254,5940,"(47.33,13.35)","(48.24,14.52)",245
March,,358,27633,"(50.21,16.85)","(48.17,16.98)",135
Thaya,,310,12772,"(48.66,15.04)","(48.62,16.94)",147
Svratka,,174,7116,"(49.64,16.00)","(48.91,16.61)",163
Jihlava,,184,3117,"(49.26,15.28)","(48.91,16.61)",164
Raab,,250,1020,"(47.35,15.52)","(47.69,17.63)",118
Waag,,403,10640,"(49.02,19.81)","(47.75,18.15)",106
Orava,,62,1192,"(49.38,19.56)","(49.15,19.14)",430
Czarna Orava,,29,,"(49.52,19.82)","(49.47,19.63)",601
Biela Orava,,35.4,469.2,"(49.32,19.19)","(49.40,19.48)",601
Nitra,,166,4499,"(48.96,18.60)","(47.96,18.02)",110
Hron,,298,5453,"(48.86,20.22)","(47.82,18.74)",100
Drau,,749,40120,"(46.73,12.26)","(45.54,18.93)",90
Gail,,122,1414,"(46.72,12.54)","(46.61,13.88)",484
Mur,,453,14108,"(47.13,13.35)","(46.30,16.88)",130
Tisza,,1308,146500,"(48.1,24.25)","(45.05,20.3)",80
Somes,,596,15015,"(46.64,22.73)","(48.12,22.34)",120
Sajó,,229,11900,"(48.79,20.21)","(47.94,21.11)",90
Hernad,,286,5500,"(48.94,20.18)","(47.99,20.93)",95
Torysa,,129,1349,"(49.11,20.64)","(48.64,21.36)",170
Mureș,,776,27832,"(46.62,25.62)","(46.25,20.19)",75
Argeș,,350,12550,"(45.55,24.6)","(44.06,26.62)",12
Dâmbovița,,237,2837,"(45.5,24.94)","(44.23,26.47)",20
Ialomița,,414,8900,"(45.42,24.44)","(44.70,27.85)",5
Save,,945,95419,"(46.2,13.6)","(44.8,20.4667)",68
Bosna,,271,10457,"(43.82,18.27)","(45.07,18.47)",89
Drina,,346,19926,"(43.35,18.8)","(44.9,19.35)",90
Tara,,140,2006,"(42.6,19.57)","(43.35,18.8)",441
Piva,,120,1270,"(43.11,18.82)","(43.35,18.8)",441
Morava,,185,37444,"(43.7,21.4)","(44.6,21.1)",65
Southern Morava,,295,15469,"(42.1,21.4)","(43.7,21.4)",132
Zapadna Morava,,308,15849,"(43.85,20.06)","(43.7,21.4)",132
Ibar,,276,8059,"(42.80,20.09)","(43.73,20.75)",190
Iskar,,368,8600,"(42.19,22.33)","(43.73,24.44)",65
Ossam,,314,2820,"(42.72,24.77)","(43.70,24.85)",40
Timiş,,340,13085,"(45.29,22.59)","(44.85,20.63)",72
Jiu,,385,10070,"(45.28,22.82)","(43.78,23.81)",23
Olt,,615,24010,"(46.65,25.8)","(43.7,24.8)",21
Siret,,726,44835,"(48.00,25.28)","(45.41,28.02)",5
Pruth,,953,27500,"(48.16,24.55)","(45.47,28.21)",4
Moraca,,99.5,1600,"(42.85,19.25)","(42.25,19.15)",7
Neretva,Mediterranean Sea,218,5581,"(43.28,18.55)","(43.02,17.44)",0
Buna,Mediterranean Sea,44,5187,"(42.05,19.5)","(41.85,19.35)",0
Drin,Mediterranean Sea,285,19686,"(42.15,20.4)","(41.8,19.6)",0
White Drin,,136,4964,"(42.7,20.2)","(42.1,20.4)",
Black Drin,,149,3504,"(41.0,20.7)","(42.1,20.4)",
Vjosa,Mediterranean Sea,272,6706,"(39.79,21.15)","(40.64,19.82)",0
Acheloos,Mediterranean Sea,217,6329,"(39.67,21.15)","(38.33,21.10)",0
Aliakmonas,Mediterranean Sea,297,8813,"(40.36,20.79)","(40.47,22.65)",0
Vardar,Mediterranean Sea,388,24438,"(41.76,20.83)","(40.51,22.71)",0
Struma,Mediterranean Sea,415,17330,"(42.55,23.28)","(40.79,23.85)",0
Maritsa,Mediterranean Sea,525,52900,"(42.16,23.64)","(40.74,26.03)",0
Tundzha,,365,8430,"(42.73,24.97)","(41.66,26.56)",40
Nachal HaKishon,Mediterranean Sea,70,1100,"(33.7,35.7)","(32.82,35.03)",0
Lualaba,,,,"(-12,27)","(0.5,25.2)",401
Nachal Sorek,Mediterranean Sea,65,722,"(31.88,35.19)","(31.94,34.71)",0
Nachal HaBesor,Mediterranean Sea,111,3700,"(30.81,34.73)","(31.46,34.37)",0
Jordan,,251,18000,"(33.7,35.7)","(31.3,35.5)",-422
Litani,Mediterranean Sea,140,2290,"(34.01,36.10)","(33.33,35.24)",0
Orontes,Mediterranean Sea,571,22300,"(34.2,36.35)","(36.04,35.96)",0
Seyhan,Mediterranean Sea,516,20700,"(37.92,35.53)","(36.72,34.91)",0
Sakarya,Black Sea,824,53800,"(39.35,31.06)","(41.12,30.65)",0
Kızılırmak,Black Sea,1355,78180,"(39.85,38.40)","(41.74,35.95)",0
Rioni,Black Sea,327,13400,"(42.87,43.36)","(42.18,41.63)",0
Terek,,623,43200,"(42.62,44.25)","(43.59,47.36)",-28
Samur,,213,7330,"(41.88,46.79)","(41.91,49.49)",-28
Kura,,1364,218906,"(40.7,42.76)","(39.28,49.43)",-28
Aras,,1072,102000,"(39.40,41.29)","(40.02,48.45)",
Hrazdan,,141,2560,"(40.55,44.09)","(39.99,44.45)",797
Schatt al Arab,Persian Gulf,193,950000,"(31.00,47.44)","(29.9,48.6)",0
Tigris,,1900,375000,"(38.3,41.0)","(31.00,47.44)",20
Euphrat,,2736,500000,"(38.8,38.75)","(31.00,47.44)",20
Murat,,720,40000,"(39.55,44.1)","(38.8,38.75)",820
Karasu,,470,22000,"(40.9,41.3)","(38.8,38.75)",820
Karun,,950,65230,"(32.35,50.1)","(30.43,48.17)",
Sefid-Rud,,670,13450,"(35.65,46.63)","(37.47,49.94)",-28
Atrek,,669,27300,"(37.17,58.78)","(37.15,54.0)",-28
Helmand,,1125,386000,"(34.64,68.67)","(31,61.25)",500
Northern Dwina,White Sea,740,357052,"(60.73,39.80)","(64.55,40.5333)",0
Suchona,,926,50300,"(60.95,40.23)","(60.73,39.80)",50
Vychegda,,1130,121000,"(62.33,55.55)","(61.28,46.60)",75
Pechora,Barents Sea,1809,322000,"(62,59)","(68.5,54)",0
Newa,Baltic Sea,74,281000,"(60.82,31.53)","(59.95,30.17)",0
Swir,,224,84400,"(60.99,35.49)","(60.51,32.79)",4
Wyg,White Sea,314,27100,"(62.75,36.52)","(64.52,34.78)",0
Narva,Baltic Sea,78,56200,"(58.68,27.49)","(59.46,28.04)",0
Daugava,Baltic Sea,1020,87900,"(56,34)","(57,24.1)",0
Dnister,Black Sea,1352,72100,"(49.2,22.93)","(46.35,30.23)",0
SouthernBug,Black Sea,857,63740,"(49.63,26.43)","(46.65,31.94)",0
Inhul,,354,9890,"(48.76,32.03)","(46.99,31.98)",2
Dnepr,Black Sea,2201,531817,"(55.5,34)","(46.5257,32.252)",0
Berezina,,613,24500,"(55.03,27.73)","(52.55,30.25)",125
Sozh,,648,42140,"(54.71,32.02)","(51.95,30.81)",120
Svislach,,327,5160,"(54.04,27.17)","(52.55,30.25)",140
Prypjat,,775,114300,"(51.47,24.3)","(51.15,30.5)",110
Styr,,494,13100,"(49.96,25.17)","(52.11,26.58)",135
Teteriv,,385,15300,"(49.77,27.92)","(51.03,30.28)",100
Desna,,1130,88900,"(54.59,33.30)","(50.55,30.54)",95
Seym,,748,27500,"(51.16,37.23)","(51.46,32.56)",112
Psel,,717,22800,"(51.14,36.75)","(49.02,33.53)",104
Vorskla,,464,14700,"(50.91,36.45)","(48.92,34.12)",103
Inhulets,,557,14460,"(50.91,36.45)","(46.68,32.81)",40
Kalmius,Sea of Azov,209,5070,"(48.12,37.87)","(47.08,37.58)",0
Don,Sea of Azov,1870,425600,"(54.0,38.26)","(47.1,39.4)",0
Donets,,1053,98900,"(50.95,36.90)","(47.60,40.90)",6
Manych,,420,35400,"(45.71,44.11)","(47.25,40.25)",2
East Manych,,220,12500,"(45.62,44.19)","(44.76,46.99)",-28
Oskol,,472,14800,"(51.60,37.22)","(49.01,37.41)",60
Kuban,Sea of Azov,870,57900,"(43.33,42.39)","(45.34,37.40)",0
Volga,,3531,1410000,"(57,33)","(46.733333333333,47.85)",-28
Oka,,1480,245000,"(52.35,36.2)","(56.3,44)",67
Moskva,,502,17600,"(55.49,35.40)","(55.07,38.85)",100
Kama,,1805,507000,"(58.2,53.75)","(55.4,50.3)",53
Vyatka,,1314,129000,"(58.45,52.17)","(55.59,51.50)",60
Chusovaya,,592,23000,"(56.16,60.35)","(58.16,56.39)",108.5
Belaya,,1430,142000,"(54.55,59.05)","(55.92,53.53)",53
Ural,,2428,244280,"(54.7,59.4)","(47.1,51.9)",-28
Emba,,712,40400,"(49.17,58.75)","(46.63,53.32)",-28
Ob,Kara Sea,3650,2972497,"(52.43,85.00)","(66.48,71.35)",0
Irtysh,,4248,1673470,"(47.9,90.0)","(61.07,68.93)",23
Tobol,,1591,426000,"(51.5,61.0)","(58.2,68.25)",35
Tura,,1030,80400,"(58.39,59.40)","(57.21,66.95)",42
Tagil,,414,10100,"(57.22,59.98)","(58.52,62.48)",80
Isset,,606,58900,"(56.95,60.40)","(56.60,66.29)",51
Miass,,658,21800,"(54.77,59.62)","(56.09,64.50)",66
Ishim,,2450,177000,"(52,71.5)","(58,71.5)",
Katun,,688,60900,"(49.75,86.56)","(52.43,85.00)",162
Chulym,,2023,134000,"(54.11,89.11)","(57.73,83.82)",65
Tom,,827,62000,"(53.61,89.68)","(56.83,84.49)",67
Yenissey,Kara Sea,4092,2554482,"(52.33,97.5)","(51.06,100.02)",0
Little Yenissey,,563,58700,"(51.40,99.30)","(51.73,94.35)",619
Nizhnyaya Tunguska,,2989,473000,"(58.04,105.68)","(65.78,87.96)",20
Chantaika,,174,30700,"(68.48,92.97)","(68.11,86.55)",18
Angara,,2830,1039000,"(56.6,113.75)","(58.2,92.5)",76
Selenge,,992,447000,"(52,106)","(58.2,92.5)",455
Egiin Gol,,535,41800,"(50.42,100.15)","(49.39,103.62)",823
Orchon,,1124,132835,"(46.75,101.15)","(50.25,106.15)",
Tuul,,819,49840,"(48.5,108.2)","(48.96,104.8)",780
Pyasina,Kara Sea,1000,182000,"(68.94,92.39)","(73.90,87.49)",0
Taimyra,Kara Sea,840,124000,"(74.15,94.13)","(76.11,99.79)",0
Chatanga,Laptev Sea,1636,275000,"(69.07,94.87)","(73,115)",0
Olenyok,Laptev Sea,2292,219000,"(67.59,105.16)","(73.00,105.16)",0
Lena,Laptev Sea,4400,2306772,"(53.99,107.88)","(72.40,126.7)",0
Vilyuy,,2650,454000,"(65.96,103.51)","(64.33,126.41)",54
Aldan,,2273,729000,"(56.42,123.79)","(63.44,129.55)",72
Vitim,,1837,225000,"(54.34,112.42)","(59.45,112.60)",176
Indigirka,East Sibirian Sea,1726,360000,"(61.90,142.44)","(70.82,148.90)",0
Kolyma,East Sibirian Sea,2513,647000,"(62.3,147.7)","(69.63,161.49)",0
Anadyr,Bering Sea,1150,191000,"(67.05,170.84)","(64.73,177.52)",0
Kamchatka,Pacific Ocean,758,55900,"(54.25,157.53)","(56.20,162.48)",0
Amur,Sea of Okhotsk,2824,1855000,"(53.33,121.48)","(53.1,140.73)",0
Schilka,,560,206000,"(51.7,115.84)","(53.33,121.48)",305
Ingoda,,708,37200,"(49.7,111.05)","(51.7,115.84)",498
Onon,,1032,96200,"(48.84,108.8)","(51.7,115.84)",498
Argun,,1620,164000,"(49.94,122.46)","(53.33,121.48)",305
Songhua,,1927,550000,"(42.62,127.2)","(47.7,132.52)",
Sungacha,,180,25600,"(45.06,132.85)","(45.57,133.41)",
Ussuri,,897,193000,"(43.75,134.44)","(48.45,135.06)",
Kherlen,,1264,116400,"(48.8,109.2)","(48.75,117.05)",539
Syrdarja,,2212,782669,"(40.9,71.75)","(46,60.5)",40
Naryn,,678,59100,"(41.8,77.5)","(40.9,71.75)",400
Amudarja,,1415,465000,"(37.1,68.3)","(44,59)",
Vakhsh,,786,39100,"(39.74,73.63)","(37.1,68.3)",310
Pjandsh,,921,114000,"(37.28,73.67)","(37.1,68.3)",310
Bartang,,528,24700,"(37.35,74.4)","(37.9,71.6)",1979
Ili,,1001,140000,"(43.58,82.55)","(45.4,74.14)",340
Künes,,220,3532,"(43.21,84.85)","(43.58,82.55)",800
Tekes,,438,29600,"(42.55,79.65)","(43.58,82.55)",800
Tarim-Yarkend,,3260,951500,"(33.5,80.5)","(40.2,90.6)",780
Tumen,Sea of Japan,521,41200,"(41.97,128.2)","(42.43,130.6)",0
Yalu,Yellow Sea,813,30000,"(42.0,128.1)","(39.8,124.3)",0
Taedong,Yellow Sea,439,20344,"(40.33,126.93)","(38.69,125.21)",0
Nakdonggang,Sea of Japan,526,23384,"(37.09,129.04)","(35.05,128.93)",0
Namhangang,Yellow Sea,494,35770,"(37.23,128.98)","(37.75,126.18)",0
Bukhangang,,325,11343,"(38.65,128.11)","(37.53,127.31)",30
Geumgang,Yellow Sea,401,9859,"(35.59,127.50)","(36.00,126.65)",0
Ishikari,Pacific Ocean,268,14330,"(43.54,143.00)","(43.27,141.38)",0
Shinano,Sea of Japan,367,11900,"(35.91,138.72)","(34.68,135.42)",0
Tone,Pacific Ocean,322,16840,"(37.05,139.10)","(35.74,140.85)",0
Kitakami,Pacific Ocean,249,10150,"(40.07,141.16)","(38.41,141.31)",0
Yodo,Seto Inland Sea,75,8240,"(34.99,135.91)","(34.68,135.42)",0
Kushiro,Pacific Ocean,154,2510,"(43.56,144.33)","(42.98,144.37)",0
Tamsui,East China Sea,159,2726,"(24.43,121.27)","(25.18,121.41)",0
Gaoping,South China Sea,171,3257,"(23.48,120.04)","(22.49,120.58)",0
Liao He,Yellow Sea,1390,232000,"(42.9,116.95)","(40.91,121.81)",0
Huang He,Yellow Sea,4845,752000,"(35.31,96.23)","(37.74,119.14)",0
Wei He,,818,107000,"(35.0,104.04)","(34.6,110.3)",
Huai,Yellow Sea,1110,174000,"(32.4,113.3)","(34.25,120.27)",0
Yangtze,East China Sea,6380,1722155,"(33.5,91.2)","(32,121.5)",0
Han,,1532,174300,"(33.14,106.82)","(30.55,114.3)",75
Gan Jiang,,758,81600,"(24.50,114.42)","(29.75,116.21)",
Xiang Jiang,,856,96400,"(26.61,110.61)","(29.44,113.14)",
Yuan Jiang,,1033,89163,"(26.31,107.33)","(28.85,112.24)",
Pearl River,South China Sea,170,453700,"(23.25,113.2)","(22.1,113.75)",0
Dong Jiang,,523,32000,"(24.4,115.2)","(23.04,113.5)",
Bei Jiang,,468,46700,"(24.8,113.6)","(23.15,112.8)",
Xi Jiang,South China Sea,2197,353100,"(25.77,103.9)","(22.05,113.48)",0
Hong He,South China Sea,1149,170977,"(25.8,101.3)","(20.27,106.55)",0
Mekong,South China Sea,4350,795000,"(33.75,94.66)","(10.19,106.75)",0
Tonle Sap River,,120,,"(12.50,104.56)","(11.56,104.94)",0.3
Mae Nam Chao Phraya,Gulf of Thailand,372,160000,"(15.7,100.14)","(13.54,100.59)",0
Mae Nam Ping,,658,44688,"(19.81,98.83)","(15.7,100.14)",33
Mae Nam Nan,,740,57947,"(19.3,101.2)","(15.7,100.14)",33
Saluen,Andaman Sea,2980,320000,"(32.5,91.9)","(17,97.5)",0
Irawaddy,Andaman Sea,2170,413674,"(29,98)","(17,96)",0
Ganges,Gulf of Bengal,2620,1750000,"(30.93,79.06)","(22,90)",0
Ghaghara,,1080,127950,"(30.56,80.68)","(25.74,84.68)",35
Gandaki,,400,46300,"(27.74,84.42)","(25.65,85.18)",44
Kali Gandaki,,350,11863,"(29.29,83.82)","(27.74,84.42)",190
Trishuli,,300,11688,"(28.43,85.16)","(27.74,84.42)",190
Koshi,,300,86900,"(26.91,87.16)","(25.4,87.26)",
Sunkoshi,,430,18182,"(28.46,86.32)","(26.91,87.16)",
Arun,,500,33578,"(28.68,85.88)","(26.91,87.16)",
Yamuna,,1376,366223,"(31.0,78.45)","(25.4,81.86)",74
Chambal,,960,132508,"(22.47,75.63)","(26.5,79.25)",122
Brahmaputra,,2896,651334,"(31.06,81.33)","(23.8,89.8)",6
Raidak,,370,15300,"(27.69,89.44)","(25.98,89.81)",36
Jaldhaka,,250,4800,"(27.33,88.89)","(25.75,89.71)",26
Tista,,430,12540,"(28.00,88.81)","(25.47,89.67)",16
