abbreviation,name,city,country,province,established
FAO,Food and Agriculture Organization,Roma,I,Lazio,1945-10-16
FZ,Franc Zone,Paris,F,Île-de-France,1945-12-20
GCTU,General Confederation of Trade Unions,Moskva,R,Moscow,1992-04-15
G-10,Group of 10,Paris,F,Île-de-France,1962-10-01
G-11,Group of 11,,,,1984-06-22
G-15,Group of 15,Genève,CH,Genève,
G-20,Group of 20,,,,1999-12-16
G-24,Group of 24,Bruxelles,B,Bruxelles,1989-07-31
G-3,Group of 3,,,,1990-10-01
G-5,Group of 5,,,,1985-09-21
G-7,Group of 7,,,,1985-09-21
G-77,Group of 77,,,,1964-06-14
G-8,Group of 8,,,,1975-10-01
G-9,Group of 9,,,,
GCC,Gulf Cooperation Council,Riyadh,SA,Ar-Riyadh,1981-05-25
InOC,Indian Ocean Commission,Port Louis,MS,Mauritius,1982-12-21
IADB,Inter-American Development Bank,Washington,USA,District of Columbia,1959-04-07
IGAD,Inter-Governmental Authority on Development,,,,
IPU,Inter-Parliamentary Union,,,,
IAEA,International Atomic Energy Agency,Wien,A,Wien,1956-10-26
IBRD,International Bank for Reconstruction and Development,Washington,USA,District of Columbia,1944-07-22
ICC,International Chamber of Commerce,Paris,F,Île-de-France,1919-01-01
ICAO,International Civil Aviation Organization,Montréal,CDN,Quebec,1944-12-07
ICJ,International Court of Justice,Den Haag,NL,Zuid-Holland,1945-06-25
ICCt,International Criminal Court,Den Haag,NL,Zuid-Holland,2002-07-01
Interpol,International Criminal Police Organization,Lyon,F,Auvergne-Rhône-Alpes,1956-06-13
IDA,International Development Association,Washington,USA,District of Columbia,1960-01-25
IEA,International Energy Agency,Paris,F,Île-de-France,1974-11-14
IFRCS,International Federation of Red Cross and Red Crescent Societies,Genève,CH,Genève,1919-05-05
IFC,International Finance Corporation,Washington,USA,District of Columbia,1955-05-25
IFAD,International Fund for Agricultural Development,Roma,I,Lazio,1974-11-01
IHO,International Hydrographic Organization,,,,
ILO,International Labor Organization,Genève,CH,Genève,1919-06-27
IMO,International Maritime Organization,London,GB,London,1948-03-06
IMSO,International Mobile Satellite Organization,London,GB,London,1999-04-14
IMF,International Monetary Fund,Washington,USA,District of Columbia,1944-07-22
IOC,International Olympic Committee,Lausanne,CH,Vaud,1894-06-22
IOM,International Organization for Migration,Genève,CH,Genève,1951-12-05
ISO,International Organization for Standardization,Genève,CH,Genève,1947-02-01
OIF,International Organization of the French-speaking World,Paris,F,Île-de-France,1970-03-20
ITSO,International Telecommunication Satellite Organization,,,,
ITU,International Telecommunication Union,Genève,CH,Genève,1865-05-17
ITUC,International Trade Union Confederation,Bruxelles,B,Bruxelles,2006-11-02
IDB,Islamic Development Bank,Jeddah,SA,Makkah Al-Mokarramah,1973-12-15
LAES,Latin American and Caribbean Economic System,Caracas,YV,Distrito Federal,1975-10-17
LAIA,Latin American Integration Association,Montevideo,ROU,Uruguay,1980-08-11
LAS,League of Arab States,Al Qahirah,ET,Egypt,1945-03-22
MIGA,Multilateral Investment Guarantee Agency,Washington,USA,District of Columbia,1988-04-11
NAM,Nonaligned Movement,Jakarta,RI,DKI Jakarta,1961-09-05
NC,Nordic Council,Stockholm,S,Stockholm,1952-03-16
NIB,Nordic Investment Bank,Helsinki,SF,Uusimaa,1975-12-04
NAFTA,North American Free Trade Agreement,,,,1992-12-17
NATO,North Atlantic Treaty Organization,Bruxelles,B,Bruxelles,1949-04-03
NEA,Nuclear Energy Agency,,,,1958-01-31
NSG,Nuclear Suppliers Group,Wien,A,Wien,
GUAM,Organization for Democracy and Economic Development,Kyïv,UA,Kyïv,2001-06-06
OECD,Organization for Economic Cooperation and Development,Paris,F,Île-de-France,1960-12-14
OSCE,Organization for Security and Cooperation in Europe,Wien,A,Wien,1994-12-31
OPCW,Organization for the Prohibition of Chemical Weapons,Den Haag,NL,Zuid-Holland,1997-04-28
OAS,Organization of American States,Washington,USA,District of Columbia,1890-04-13
OAPEC,Organization of Arab Petroleum Exporting Countries,,,,1968-01-08
OECS,Organization of Eastern Caribbean States,Castries,WL,Saint Lucia,1981-06-17
OIC,Organization of Islamic Cooperation,Jeddah,SA,Makkah Al-Mokarramah,1969-09-24
OPEC,Organization of Petroleum Exporting Countries,Wien,A,Wien,1960-09-13
PIF,Pacific Islands Forum,Suva,FJI,Fiji,1971-08-04
PFP,Partnership for Peace,,,,1994-01-10
PCA,Permanent Court of Arbitration,,,,1899-07-29
SPC,Secretariat of the Pacific Community,Noumea,NCL,New Caledonia,1947-02-05
SCO,Shanghai Cooperation Organization,Beijing,CN,Beijing,2001-06-14
SACEP,South Asia Co-operative Environment Program,,,,
SAARC,South Asian Association for Regional Cooperation,Kathmandu,NEP,Nepal,1985-12-08
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,,,,1981-01-01
SACU,Southern African Customs Union,Windhoek,NAM,Namibia,1969-12-11
SADC,Southern African Development Community,Gaborone,RB,Botswana,1992-08-16
Mercosur,Southern Cone Common Market,Buenos Aires,RA,Distrito Federal,1991-03-26
UNASUR,Union of South American Nations,Quito,EC,Ecuador,2008-05-23
UN,United Nations,New York,USA,New York,1945-06-25
UNCTAD,United Nations Conference on Trade and Development,,,,1964-12-30
UNDOF,United Nations Disengagement Observer Force,Dimashq,SYR,Dimashq,1974-05-31
UNESCO,"United Nations Educational, Scientific, and Cultural Organization",Paris,F,Île-de-France,1945-11-15
UNHCR,United Nations High Commissioner for Refugees,Genève,CH,Genève,1949-12-03
UNIDO,United Nations Industrial Development Organization,Wien,A,Wien,1966-11-16
UNITAR,United Nations Institute for Training and Research,,,,1963-12-11
UNMIT,United Nations Integrated Mission in Timor-Leste,,,,2006-08-24
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
UNISFA,United Nations Interim Security Force for Abyei,,,,2011-06-26
UNMOGIP,United Nations Military Observer Group in India and Pakistan,New York,USA,New York,1949-01-23
MINURSO,United Nations Mission for the Referendum in Western Sahara,New York,USA,New York,1991-04-28
UNMIL,United Nations Mission in Liberia,,,,2003-09-18
UNMISS,United Nations Mission in the Republic of South Sudan,,,,2011-07-08
UNOCI,United Nations Operation in Cote d'Ivoire,,,,2004-02-26
MONUSCO,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,,,,2010-05-28
UNFICYP,United Nations Peacekeeping Force in Cyprus,New York,USA,New York,1964-03-04
UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Wien,A,Wien,1949-12-08
UNSC,United Nations Security Council,Genève,CH,Genève,1945-06-25
UNTSO,United Nations Truce Supervision Organization,Yerushalayim,IL,Yerushalayim,1948-05-01
UPU,Universal Postal Union,Bern,CH,Bern,1874-10-09
V4,Visegrád Group,,,,1991-02-15
WCO,World Customs Organization,Bruxelles,B,Bruxelles,1950-12-15
WFTU,World Federation of Trade Unions,Praha,CZ,Praha,1945-10-03
WHO,World Health Organization,Genève,CH,Genève,1946-07-22
WIPO,World Intellectual Property Organization,Genève,CH,Genève,1967-07-14
WMO,World Meteorological Organization,Genève,CH,Genève,1947-10-11
UNWTO,World Tourism Organization,Madrid,E,Madrid,1975-01-01
WTO,World Trade Organization,,,,1994-04-14
ZC,Zangger Committee,,,,
