name,river,area,elevation,depth,coordinates
Dongting Hu,,2820,33,31,"(29.3,112.95)"
Heaven Lake,,9.82,2189,384,"(42.00,128.06)"
Supung Dam,Yalu,274,126,,"(40.46,124.97)"
Lake Biwa,Yodo,670,85,104,"(35.32,136.17)"
Lake Kussharo,Kushiro,79.5,121,117,"(43.63,144.33)"
Lake Tazawa,,25.9,290,423,"(39.72,140.66)"
Lake Pinatubo,,1.8,900,600,"(15.14,120.3)"
Lake Taal,Pansipit River,234.2,5,172,"(13.98,121.02)"
Taal Crater Lake,,0.3,5,172,"(14.00,121.00)"
Laguna de Bay,Pasig River,911,1,20,"(14.4,121.35)"
Lake Lanao,Agus River,334,700,112,"(7.9,124.25)"
Lake Toba,Asahan,1103,905,505,"(2.6,98.8)"
Danau Kumbang,,0.04,2560,,"(-2.50,101.86)"
Segara Anak,,11.3,2008,190,"(-8.40,116.45)"
Tonle Sap,Tonle Sap River,16000,0.5,10,"(12.88,104.07)"
Lake Bhumibol,Mae Nam Ping,308,250,,"(17.24,98.97)"
Lake Sirikit,Mae Nam Nan,259,160,,"(17.76,100.55)"
Songkhla Lake,,1040,0,,"(7.2,100.47)"
Lake Nasser,Nile,5250,183,180,"(22.4,31.75)"
Chott Melrhir,,6700,-40,3,"(34.33,6.33)"
Lake Kossou,Bandama,1898,195,,"(7.00,-5.50)"
Lake Volta,Volta,8502,85,75,"(6.3,0.5)"
Lake Bosumtwi,,49,107,81,"(6.5,-1.4)"
Lake Kainji,Niger,1243,140,12,"(10.4,4.5)"
Chad Lake,,23000,250,7,"(13.2,14.0)"
Barrage de Mbakaou,Sanaga,348,838,29,"(6.4,12.75)"
Lake Nyos,,1.58,250,1091,"(6.44,10.3)"
Lac Assal,,54,-155,20,"(11.65,42.4)"
Lake Abbe,,320,243,37,"(11.2,41.8)"
Lake Abaya,,1285,619,13,"(6.3,37.8)"
Chew Bahir,,800,520,7.5,"(4.7,36.85)"
Lake Turkana,,6405,375,73,"(3.6,36.1)"
Lake Tana,Blue Nile,3000,1830,14,"(12.0,37.3)"
Lake No,White Nile,100,390,,"(9.5,30.45)"
Lake Sese Seko/Albertsee,Bahr el-Djebel/Albert Nil,5347,619,48,"(1.7,30.9)"
Rutanzige/Eduardsee,Semliki,2325,920,112,"(-0.35,29.6)"
Lake Kyoga,Victoria Nile,1720,914,5.7,"(1.5,33)"
Lake Victoria,Victoria Nile,68870,1134,85,"(-1,33)"
Lake Kivu,Ruzizi,2650,1462,450,"(-1.8,29.2)"
Lake Tanganjika,Lukuga,32893,782,1470,"(-6,30)"
Lake Mweru,Luvua,5120,931,27,"(-9,28.7)"
Lake Bangweulu,Luapula,10000,1140,4,"(-11.2,29.7)"
Lake Rukwa,,5760,800,3.4,"(-8,32.35)"
Lake Eyasi,,1050,1030,,"(-3.6,35)"
Lake Natron,,1040,600,2,"(-2.4,36)"
Lake Malawi,Shire,29600,474,704,"(-12,34)"
Lake Chilwa,,687,474,2,"(-15.3,35.7)"
Lake Mai Ndombe,Fimi,8200,300,10,"(-2.05,18.3)"
Malebo Pool,Congo,500,272,10,"(-4.3,15.5)"
Lake Cahora-Bassa,Zambezi,2739,326,157,"(-15.6,32.7)"
Lake Kariba,Zambezi,5580,479,97,"(-16.5,28.75)"
Lake Ngami,,770,925,2,"(-20.5,23)"
Etoscha Salt Pan,,6133,1000,0,"(-18.8,16)"
Makgadikgadi Salt Pan,,12000,900,0,"(-25.5,21)"
Lake Hazen,Ruggles River,537.5,158,269,"(81.75,-71.05)"
Nettilling Lake,Koukdjuak River,5542,30,132,"(66.3,-70.1)"
Lake Clark,Newhalen River,370,77,322,"(60,-154)"
Iliamna Lake,Kvichak River,2622,14,301,"(60,-155)"
Great Bear Lake,Great Bear River,31792,186,446,"(65.9,-120.6)"
Great Slave Lake,Mackenzie River,28568,156,614,"(61.7,-113.9)"
Lake Athabasca,Slave River,7850,213,124,"(59.26,-109.45)"
Atlin Lake,Yukon River,798,668,283,"(59.5,-133.75)"
Lake Winnipeg,Nelson River,24420,218,18,"(52.77,-97.97)"
Lake Nipigon,Nipigon River,4848,260,165,"(49.83,-88.5)"
Lake Manicouagan,Manicouagan River,1942,360,350,"(51.4,-68.7)"
Lake Ontario,Saint Lawrence River,18960,75,244,"(43.695,-77.96)"
Lake Erie,Niagara River,25745,174,64,"(42.16,-81.27)"
Lake Huron,Detroit River,59600,176,229,"(44.795,-82.44)"
Lake Manitou,Manitou River,104,215,,"(45.76,-82.0)"
Lake Mindemoya,Mindemoya River,38.7,200,21,"(45.76,-82.21)"
Lake Michigan,Straits of Mackinac,57800,176,281,"(43.69,-87.08)"
Lake Superior,Saint Marys River,82103,184,405,"(47.7675,-87.37)"
Lake Champlain,Riviere Richelieu,1130,30,121,"(44.56,-73.35)"
Lake Winnipesaukee,Merrimack River,186,153,55,"(43.6,-71.3)"
Lake Okeechobee,Caloosahatchee River,1890,4,4,"(26.94,-80.80)"
Kentucky Lake,Tennessee River,648,375,23,"(37,-88.3)"
Chickamauga Lake,Tennessee River,147,710,22,"(35.4,-85.0)"
Franklin. D. Roosevelt Lake,Columbia River,320,390,,"(47.95,-119)"
Lake Pend Oreille,Clark Fork River,383,630,351,"(48.02,-116.3)"
Lake Chelan,Chelan River,383,335,453,"(48.0,-120.0)"
Mazama Crater Lake,,53.2,1883,594,"(42.9,-122.1)"
Great Salt Lake,,4400,1279,10,"(41.15,-112.60)"
Utah Lake,Jordan River,392,1368,4.2,"(40.19,-111.8)"
Lake Tahoe,Truckee River,497,1900,501,"(39,-120)"
Pyramid Lake,,487,1155,108,"(40.03,-119.57)"
Mono Lake,,183,1946,48,"(38.02,-119.00)"
Lake Oroville,Feather River,64,275,274,"(39.55,-121.47)"
Lake Powell,Colorado,645,1127,171,"(36.9,-111.5)"
Lake Mead,Colorado,640,372,180,"(36.05,-114.75)"
Fort Peck Lake,Missouri,981,690,67,"(48.00,-106.4)"
Lake Sakakawea,Missouri,1578,554,55,"(47.48,-101.42)"
Lake Oahe,Missouri,1453,502,62,"(44.45,-100.40)"
Lago de Chapala,Rio Lerma Santiago,1685,1520,12,"(20.22,-103.05)"
Presa Malpaso,Rio Grijalva,381,180,,"(17.18,-93.6)"
Presa Angostura,Rio Grijalva,760,530,,"(16.4,-92.8)"
Lago de Atitlán,,130,1562,340,"(14.7,-91.2)"
Lago de Izabal,Rio Dulce,598.6,1.5,18,"(15.5,-89.2)"
Lago Enriquillo,,375,-27,52,"(18.52,-71.66)"
Lake Nicaragua,Rio San Juan,8157,31,45,"(11.60,-85.35)"
Lake Managua,,1035,39,20,"(12.35,-86.4)"
Lake Irazu,,1,3200,,"(10,-83.9)"
Lake Bayano,Rio Chepo,353,60,,"(9.15,-78.76)"
La Brea Pitch Lake,,0.4,60,75,"(10.24,-61.64)"
Represa de Ilha Solteira,Parana,1195,328,,"(-20.2,-51.2)"
Lago de Sobradinho,Rio Sao Francisco,4214,392,30,"(-9.46,-40.7)"
Quilotoa,,5,3500,250,"(-0.85,-78.9)"
Lake Junin,Mantaro,530,4082,12,"(-11.0,-76.1)"
Lake Titicaca,Rio Desaguadero,8372,3812,281,"(-15.84,-69.33)"
Poopo,,1340,3686,0,"(-18.55,-67.1)"
Salar de Uyuni,,10582,3650,0,"(-20.1,-67.5)"
Laguna Verde,,1.7,4329,,"(-22.8,-67.8)"
Salar de Atacama,,3051,2300,1700,"(-23.4,-68.25)"
Licancabur Crater Lake,,0.005,5600,,"(-22.8,-67.9)"
Laguna Mar Chiquita,,5770,71,19,"(-30.5,-62.67)"
Nahuel Huapi,Río Limay,531,770,460,"(-41.08,-71.33)"
Lago General Carrera,Río Baker,1850,217,590,"(-46.47,-71.63)"
Laguna del Carbón,,9,-105,0,"(-49.58,-68.35)"
Lago Argentino,Río Santa Cruz,1415,187,500,"(-50.23,-72.52)"
Fagnano Lake,Río Azopardo,645,140,449,"(-54.54,-67.99)"
Lake Eyre,,9500,-17,4,"(-28.6,137.3)"
Lake Burley Griffin,Murrumbidgee River,6.64,556,18,"(-35.3,149.1)"
Lake Eucumbene,Eucumbene River,145,1200,107,"(-36.1,148.6)"
Lake Jindabyne,Snowy River,30,915,40,"(-36.45,148.6)"
Lake Hume,Murray River,202,192,40,"(-36.1,147)"
Lake Taupo,Waikato River,622,356,160,"(-38.8,175.9)"
Te Wai ā-moe,Whangaehu River,0.12,2560,,"(-39.3,175.6)"
Lake Wanaka,Clutha River,192,280,311,"(-44.5,169.13)"
Lake Tengano,,155,40,44,"(-11.78,160.50)"
